title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,2/SEOJK.06/2024,1 Mei 2024,Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat -- FAQ SEOJK 2-SEOJK.06-2024 Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat/FAQ%20SEOJK%202-SEOJK.06-2024%20Laporan%20Bulanan%20Badan%20Pengelola%20Tabungan%20Perumahan%20Rakyat.pdf
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024,POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024,POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- Abstrak POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/Abstrak%20POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,7 Tahun 2024,30 April 2024,POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- FAQ POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/FAQ%20POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf
Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan.aspx,IKNB,"Lembaga Pembiayaan,  Peraturan Lainnya",Surat Edaran OJK,3/SEOJK.06/2024,1 April 2024,Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan -- SEOJK 3-SEOJK.06-2024 Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan/SEOJK%203-SEOJK.06-2024%20Laporan%20Bulanan%20Perusahaan%20Pembiayaan%20Sekunder%20Perumahan.pdf
Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan.aspx,IKNB,"Lembaga Pembiayaan,  Peraturan Lainnya",Surat Edaran OJK,3/SEOJK.06/2024,1 April 2024,Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan -- Abstrak SEOJK 3-SEOJK.06-2024 Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan/Abstrak%20SEOJK%203-SEOJK.06-2024%20Laporan%20Bulanan%20Perusahaan%20Pembiayaan%20Sekunder%20Perumahan.pdf
Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan,https://www.ojk.go.id/id/regulasi/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan.aspx,IKNB,"Lembaga Pembiayaan,  Peraturan Lainnya",Surat Edaran OJK,3/SEOJK.06/2024,1 April 2024,Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan -- FAQ SEOJK 3-SEOJK.06-2024 Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan/FAQ%20SEOJK%203-SEOJK.06-2024%20Laporan%20Bulanan%20Perusahaan%20Pembiayaan%20Sekunder%20Perumahan.pdf
Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,5 Tahun 2024,27 Maret 2024,POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum -- Salinan POJK Nomor 5 Tahun 2024 Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum/Salinan%20POJK%20Nomor%205%20Tahun%202024%20Penetapan%20Status%20Pengawasan%20dan%20Penanganan%20Permasalahan%20Bank%20Umum.pdf
Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,5 Tahun 2024,27 Maret 2024,POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum -- Abstrak POJK Nomor 5 Tahun 2024 Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum/Abstrak%20POJK%20Nomor%205%20Tahun%202024%20Penetapan%20Status%20Pengawasan%20dan%20Penanganan%20Permasalahan%20Bank%20Umum.pdf
Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,5 Tahun 2024,27 Maret 2024,POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum -- FAQ POJK Nomor 5 Tahun 2024 Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum/FAQ%20POJK%20Nomor%205%20Tahun%202024%20Penetapan%20Status%20Pengawasan%20dan%20Penanganan%20Permasalahan%20Bank%20Umum.pdf
